==== Crate 2 type vme
# slot  model   clear   header          mask            nchan   ndata
    4    1190     1     0x40000004      0xff00001f        128     4096
    5    1190     1     0x40000005      0xff00001f        128     4096
    7    1190     1     0x40000007      0xff00001f        128     4096
    8    1190     1     0x40000008      0xff00001f        128     4096
   10    1190     1     0x4000000a      0xff00001f        128     4096
   13    1190     1     0x4000000d      0xff00001f        128     4096
   14    1190     1     0x4000000e      0xff00001f        128     4096
   16    1190     1     0x40000010      0xff00001f        128     4096
   17    1190     1     0x40000011      0xff00001f        128     4096
==== Crate 20 type vme
# slot  model   clear   header          mask            nchan   ndata
    6    1190     1     0x40000006      0xff00001f        128     4096
    7    1190     1     0x40000007      0xff00001f        128     4096
    8    1190     1     0x40000008      0xff00001f        128     4096
    9    1190     1     0x40000009      0xff00001f        128     4096
   10    1190     1     0x4000000a      0xff00001f        128     4096
   11    1190     1     0x4000000b      0xff00001f        128     4096

